familia,tipo,nome,artista,musica,nicho
Erudita ocidental,estilo,Barroco,J.S. Bach,Tocata e Fuga em Ré menor BWV 565,
Erudita ocidental,estilo,Barroco,Vivaldi,As Quatro Estações - La Primavera,
Erudita ocidental,estilo,Barroco,Handel,Hallelujah Chorus (O Messias),
Erudita ocidental,estilo,Clássico (período),Mozart,Sinfonia nº 40,
Erudita ocidental,estilo,Clássico (período),Beethoven,Sinfonia nº 5,
Erudita ocidental,estilo,Clássico (período),Haydn,Sinfonia nº 94 Surpresa,
Erudita ocidental,estilo,Romântico,Chopin,Noturno Op. 9 nº 2,
Erudita ocidental,estilo,Romântico,Tchaikovsky,Abertura 1812,
Erudita ocidental,estilo,Romântico,Brahms,Sinfonia nº 3,
Erudita ocidental,estilo,Impressionismo musical,Debussy,Clair de Lune,
Erudita ocidental,estilo,Impressionismo musical,Ravel,Boléro,
Erudita ocidental,estilo,Dodecafonismo / atonalismo,Schoenberg,Pierrot Lunaire,sim
Erudita ocidental,estilo,Dodecafonismo / atonalismo,Alban Berg,Wozzeck,sim
Erudita ocidental,estilo,Minimalismo erudito,Steve Reich,Music for 18 Musicians,
Erudita ocidental,estilo,Minimalismo erudito,Philip Glass,Einstein on the Beach,
Erudita ocidental,estilo,Minimalismo erudito,John Adams,Short Ride in a Fast Machine,
Erudita ocidental,estilo,Música espectral,Gérard Grisey,Partiels,sim
Jazz,genero,Jazz (New Orleans/tradicional),Louis Armstrong,West End Blues,
Jazz,genero,Jazz (New Orleans/tradicional),Louis Armstrong,What a Wonderful World,
Jazz,genero,Jazz (New Orleans/tradicional),Sidney Bechet,Petite Fleur,sim
Jazz,estilo,Swing / Big Band,Duke Ellington,Take the A Train,
Jazz,estilo,Swing / Big Band,Glenn Miller,In the Mood,
Jazz,estilo,Swing / Big Band,Benny Goodman,Sing Sing Sing,
Jazz,estilo,Bebop,Charlie Parker,Ornithology,
Jazz,estilo,Bebop,Dizzy Gillespie,A Night in Tunisia,
Jazz,estilo,Bebop,Thelonious Monk,Round Midnight,
Jazz,estilo,Cool Jazz,Miles Davis,So What,
Jazz,estilo,Cool Jazz,Chet Baker,My Funny Valentine,
Jazz,estilo,Cool Jazz,Dave Brubeck,Take Five,
Jazz,estilo,Hard Bop,Art Blakey,Moanin',
Jazz,estilo,Hard Bop,Horace Silver,Song for My Father,
Jazz,estilo,Free Jazz,Ornette Coleman,Lonely Woman,sim
Jazz,estilo,Free Jazz,John Coltrane,Ascension,sim
Jazz,estilo,Jazz Fusion,Weather Report,Birdland,
Jazz,estilo,Jazz Fusion,Herbie Hancock,Chameleon,
Jazz,estilo,Jazz Fusion,Return to Forever,Spain,
Jazz,estilo,Smooth Jazz,Kenny G,Songbird,
Jazz,estilo,Smooth Jazz,George Benson,Breezin',
Jazz,estilo,Gypsy Jazz,Django Reinhardt,Minor Swing,sim
Jazz,estilo,Gypsy Jazz,Django Reinhardt,Nuages,sim
Jazz,estilo,Modal Jazz,Miles Davis,Flamenco Sketches,
Jazz,estilo,Modal Jazz,John Coltrane,My Favorite Things,
Blues,genero,Blues,Robert Johnson,Cross Road Blues,
Blues,genero,Blues,B.B. King,The Thrill Is Gone,
Blues,genero,Blues,Muddy Waters,Mannish Boy,
Blues,estilo,Chicago Blues,Muddy Waters,Hoochie Coochie Man,
Blues,estilo,Chicago Blues,Howlin' Wolf,Smokestack Lightning,
